Column,Example
optionA,You are transmitting at or below your maximum permitted power
optionB,The malfunction stops when you stop transmitting
optionC,"The field strength of your emissions, on your neighbour&apos;s premises, is above Innovation, Science and Economic Development Canada&apos;s specified immunity criteria"
optionD,"The field strength of your emissions, on your neighbour&apos;s premises, is below Innovation, Science and Economic Development Canada&apos;s specified immunity criteria"
correctOption,D
explanation,"If your field strength at the neighbour&apos;s location is below ISED&apos;s immunity reference level, EMCAB-2 considers the problem to be poor immunity in their equipment, not illegal emissions from you. Memory Trick: &quot;Field below the line? Their gear, not your signal, is out of line.&quot;"
BankQuestionID,B-001-025-001
,
question,Your neighbour&apos;s television receiver malfunctions when you are transmitting. What provision in Electromagnetic Compatibility Advisory Bulletin EMCAB-2 deems your transmission is the cause?
optionA,"The field strength of your emissions, on your neighbour&apos;s premises, is above Innovation, Science and Economic Development Canada&apos;s specified immunity criteria"
optionB,You are transmitting at or below your maximum permitted power
optionC,The malfunction continues when you stop transmitting
optionD,"The field strength of your emissions, on your neighbour&apos;s premises, is below Innovation, Science and Economic Development Canada&apos;s specified immunity criteria"
correctOption,A
explanation,"If the measured field strength from your station at your neighbour&apos;s location is ABOVE ISED&apos;s immunity reference level, EMCAB-2 treats your transmission as the cause of the problem and you may be required to correct it. Memory Trick: Think &quot;Above the line = problem is mine.&quot;"
BankQuestionID,B-001-025-002
,
question,"When determining the field strength criterion per Electromagnetic Compatibility Advisory Bulletin EMCAB-2, what type of equipment describes devices often used in home entertainment systems, but not strictly speaking radio apparatus?"
optionA,Low-immunity equipment
optionB,Associated equipment
optionC,Broadcast receivers
optionD,Radio-sensitive equipment
correctOption,B
explanation,"&quot;Associated equipment&quot; is the EMCAB-2 term for things like amplifiers, DVD players, speakers or game consoles that are connected to a receiver or system, but are not radio receivers or transmitters themselves. Memory Trick: If it&apos;s &quot;associated with&quot; the radio/TV but isn&apos;t the radio itself, it&apos;s &quot;associated equipment.&quot;"
BankQuestionID,B-001-025-003
,
question,"Your neighbour complains that your transmissions interfere with their garage door opener. When determining the applicable field strength criterion in Electromagnetic Compatibility Advisory Bulletin EMCAB-2, what type of equipment is the garage door opener?"
optionA,Broadcast equipment
optionB,Low-immunity equipment
optionC,Radio-sensitive equipment
optionD,Associated equipment
correctOption,C
explanation,"A garage door opener has a small radio receiver that responds to RF signals, so EMCAB-2 treats it as &quot;radio-sensitive equipment.&quot; Memory Trick: If the gadget has a built-in radio that reacts to signals (remotes, alarms, openers), think &quot;radio-sensitive.&quot;"
BankQuestionID,B-001-025-004
,
question,What is an appropriate way to make contact on a repeater?
optionA,"Say the other operator&apos;s name, then your call sign three times"
optionB,"Say, &quot;breaker, breaker&quot;"
optionC,Say the call sign of the station you want to contact three times
optionD,"Say the call sign of the station you want to contact, then your call sign"
correctOption,D
explanation,"The standard way is to call the other station&apos;s call sign once, followed by your own, for example &quot;VA3XYZ, this is VE3ABC.&quot; Memory Trick: &quot;Them, then me&quot; – called station first, then your ID."
BankQuestionID,B-002-001-001
,
question,What is the main purpose of a repeater?
optionA,To increase the range of portable and mobile stations
optionB,To link amateur radio stations with the telephone system
optionC,To retransmit weather information during severe storm warnings
optionD,To make local information available 24 hours a day
correctOption,A
explanation,"A repeater listens on one frequency and retransmits on another, usually from a high location, so low-power mobile and handheld stations can reach much farther. Memory Trick: Picture a &quot;radio on a hill&quot; that hears you and shouts your signal farther."
BankQuestionID,B-002-001-002
,
question,What is frequency coordination on VHF and UHF bands?
optionA,A part of the planning prior to a contest
optionB,A process which seeks to carefully recommend frequencies to minimize interference with neighbouring repeaters
optionC,A band plan detailing modes and frequency segments within a band
optionD,The selection of simplex frequencies used by individual operators
correctOption,B
explanation,Frequency coordination is the organized process where a recognized body recommends repeater input/output pairs so systems do not interfere with each other. Memory Trick: Think of &quot;air-traffic control for repeaters&quot; – making sure they don&apos;t collide.
BankQuestionID,B-002-001-003
,
question,What is the purpose of a repeater time-out timer?
optionA,It logs repeater transmit time to predict when a repeater will fail
optionB,It tells how long someone has been using a repeater
optionC,It interrupts lengthy transmissions
optionD,It hands over control to each user in turns
correctOption,C
explanation,"The time-out timer shuts the repeater transmitter off after a maximum transmission length to protect it from overheating and to prevent a stuck microphone from tying it up. Memory Trick: &quot;Timer = time limit&quot; – too long, and the machine cuts you off."
BankQuestionID,B-002-001-004
,
question,What is a CTCSS tone?
optionA,A tone used by repeaters to mark the end of a transmission
optionB,A signal used for telemetry by amateur radio satellites
optionC,A signal used for radio control of model craft
optionD,A sub-audible tone that activates a receiver audio output when present
correctOption,D
explanation,"CTCSS adds a low-frequency &quot;sub-audible&quot; tone to the signal. Only receivers set for that tone will open their squelch, reducing unwanted noise and interference. Memory Trick: CTCSS = &quot;Code Tone to Control Squelch.&quot;"
BankQuestionID,B-002-001-005
,
question,How do you call another station on a repeater if you know the station&apos;s call sign?
optionA,"Say the station&apos;s call sign, then identify your own station"
optionB,"Say &quot;break, break,&quot; then say the station&apos;s call sign"
optionC,"Say &quot;CQ&quot; three times, then say the station&apos;s call sign"
optionD,"Wait for the station to call &quot;CQ,&quot; then answer it"
correctOption,A
explanation,"You make a directed call on the repeater by saying the other station&apos;s call sign once, followed by your own. Memory Trick: &quot;VA3XYZ, this is VE3ABC&quot; is the model – called station, then you."
BankQuestionID,B-002-001-006
,
question,Why should you pause before and between transmissions when using a repeater?
optionA,To give the repeater time to respond
optionB,To listen for anyone else wanting to use the repeater
optionC,To check the SWR of the repeater
optionD,To reach for pencil and paper for third-party communications
correctOption,B
explanation,"A brief pause allows other stations – especially those with emergency traffic – to break in, and lets the repeater&apos;s time-out timer reset. Memory Trick: &quot;Pause for others&quot; – a short gap keeps the channel shared and safe."
BankQuestionID,B-002-001-007
,
question,Why should you keep transmissions short when using a repeater?
optionA,To reduce the bandwidth used by the repeater
optionB,To avoid exceeding the repeater&apos;s memory storage
optionC,A long transmission may prevent someone with an emergency from using the repeater
optionD,To keep long-distance charges down
correctOption,C
explanation,"Long transmissions can overheat the repeater and block others, including someone with urgent traffic, from getting in. Memory Trick: &quot;Short overs, long life&quot; – short transmissions help everyone."
BankQuestionID,B-002-001-008
,
question,What is the proper way to join a conversation on a repeater?
optionA,Wait for the end of a transmission and start calling the desired party
optionB,"Shout &quot;break, break!&quot; to show that you&apos;re eager to join the conversation"
optionC,Increase power to override whoever is talking
optionD,Say your call sign during a break between transmissions
correctOption,D
explanation,The polite method is simply to drop in your call sign during a pause; the other stations can then invite you in. Memory Trick: &quot;Callsign in the gap&quot; – no shouting or doubling needed.
BankQuestionID,B-002-001-009
,
question,What is the accepted way to ask someone about their location when using a repeater?
optionA,Where are you?
optionB,What is your 10-20?
optionC,Locations are not normally broadcast over the radio
optionD,What is your 10-85?
correctOption,A
explanation,Amateur radio practice is to use plain language such as &quot;Where are you?&quot; rather than CB-style &quot;10-codes.&quot; Memory Trick: &quot;Plain English beats 10-codes&quot; on ham bands.
BankQuestionID,B-002-001-010
,
question,FM repeater operation on the 2-metre band uses one frequency for transmission and one for reception. What is the standard difference between the transmit and receive frequencies (known as &quot;offset&quot;)?
optionA,400 kHz
optionB,600 kHz
optionC,800 kHz
optionD,1000 kHz
correctOption,B
explanation,"On 2&nbsp;metres, the standard repeater offset is 600&nbsp;kHz (0.6&nbsp;MHz), either plus or minus depending on the local band plan. Memory Trick: &quot;Two metres, point-six shift&quot; – 600&nbsp;kHz is the number to remember."
BankQuestionID,B-002-001-011
,
question,"To make your call sign better understood when using voice transmissions, what should you do?"
optionA,Talk louder and faster
optionB,Turn up your microphone gain
optionC,Use International Telecommunication Union phonetic alphabet code words to spell letters in your call sign
optionD,Use any words which start with the same letters as your call sign for each letter of your call
correctOption,C
explanation,"Using the official ITU phonetic alphabet (&quot;Victor Echo Three Alfa Bravo Charlie&quot;) makes each letter clear, especially under weak or noisy conditions. Memory Trick: Think &quot;ITU phonetics = universal spelling&quot; so everyone understands."
BankQuestionID,B-002-002-001
,
question,What can you use as an aid for correct station identification when using voice?
optionA,Q codes
optionB,Unique words of your choice
optionC,A speech compressor
optionD,The International Telecommunication Union phonetic alphabet
correctOption,D
explanation,"The ITU phonetic alphabet is the standard tool for clear voice identification; Q-codes are for CW and data, not spelling call signs. Memory Trick: &quot;When in doubt, spell it out&quot; – with the ITU list."
BankQuestionID,B-002-002-002
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter A?"
optionA,Alfa
optionB,Able
optionC,Adam
optionD,America
correctOption,A
explanation,&quot;Alfa&quot; is the official ITU phonetic for the letter A (spelled without the second &quot;h&quot;). Memory Trick: Picture the start of the alphabet as &quot;Alfa Bravo Charlie.&quot;
BankQuestionID,B-002-002-003
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter B?"
optionA,Baker
optionB,Bravo
optionC,Brazil
optionD,Borneo
correctOption,B
explanation,&quot;Bravo&quot; is the ITU phonetic for B. Memory Trick: Say &quot;Alfa Bravo Charlie&quot; together – B always goes with &quot;Bravo.&quot;
BankQuestionID,B-002-002-004
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter D?"
optionA,Denmark
optionB,David
optionC,Delta
optionD,Dog
correctOption,C
explanation,"&quot;Delta&quot; is the official phonetic word for D. Memory Trick: Remember the sequence &quot;Charlie Delta Echo&quot; when thinking of C, D and E."
BankQuestionID,B-002-002-005
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter E?"
optionA,Easy
optionB,Edward
optionC,England
optionD,Echo
correctOption,D
explanation,&quot;Echo&quot; is the standard ITU phonetic for E. Memory Trick: Say &quot;Delta Echo Foxtrot&quot; in your head – Echo is always the E in that trio.
BankQuestionID,B-002-002-006
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter G?"
optionA,Golf
optionB,George
optionC,Germany
optionD,Gibraltar
correctOption,A
explanation,"Golf is correct because it is the standard ITU phonetic for the letter G. Using &quot;Golf&quot; instead of made-up words ensures your call sign is understood clearly, even under weak or noisy conditions. Memory Trick: Think &quot;Alfa Bravo Charlie Delta Echo Foxtrot Golf&quot; � G always tees off with &quot;Golf.&quot;

<br><br><strong>ITU Phonetic Alphabet Table:</strong><br>
<table border=""1"" cellspacing=""0"" cellpadding=""4"">
<tr><th>Letter</th><th>Phonetic Code Word</th></tr>
<tr><td>A</td><td>Alfa</td></tr>
<tr><td>B</td><td>Bravo</td></tr>
<tr><td>C</td><td>Charlie</td></tr>
<tr><td>D</td><td>Delta</td></tr>
<tr><td>E</td><td>Echo</td></tr>
<tr><td<F</td><td>Foxtrot</td></tr>
<tr><td>G</td><td>Golf</td></tr>
<tr><td>H</td><td>Hotel</td></tr>
<tr><td>I</td><td>India</td></tr>
<tr><td>J</td><td>Juliett</td></tr>
<tr><td>K</td><td>Kilo</td></tr>
<tr><td>L</td><td>Lima</td></tr>
<tr><td>M</td><td>Mike</td></tr>
<tr><td>N</td><td>November</td></tr>
<tr><td>O</td><td>Oscar</td></tr>
<tr><td>P</td><td>Papa</td></tr>
<tr><td>Q</td><td>Quebec</td></tr>
<tr><td>R</td><td>Romeo</td></tr>
<tr><td>S</td><td>Sierra</td></tr>
<tr><td>T</td><td>Tango</td></tr>
<tr><td>U</td><td>Uniform</td></tr>
<tr><td>V</td><td>Victor</td></tr>
<tr><td>W</td><td>Whiskey</td></tr>
<tr><td>X</td><td>X-ray</td></tr>
<tr><td>Y</td><td>Yankee</td></tr>
<tr><td>Z</td><td>Zulu</td></tr>
</table>
"
BankQuestionID,B-002-002-007
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter I?"
optionA,Item
optionB,India
optionC,Iran
optionD,Italy
correctOption,B
explanation,"India is correct because it is the official ITU phonetic for the letter I. Standard phonetics avoid confusion when accents, noise or fading make letters sound similar. Memory Trick: Picture the sequence &quot;Hotel India Juliet&quot; marching across the band."
BankQuestionID,B-002-002-008
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter L?"
optionA,London
optionB,Luxembourg
optionC,Lima
optionD,Love
correctOption,C
explanation,"Lima is correct because it is the standard ITU phonetic word for L. Non-standard words like &quot;Love&quot; or &quot;London&quot; may be misunderstood, especially internationally. Memory Trick: Hear &quot;Kilo Lima Mike&quot; when you think of K–L–M."
BankQuestionID,B-002-002-009
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter P?"
optionA,Portugal
optionB,Paris
optionC,Peter
optionD,Papa
correctOption,D
explanation,"Papa is correct because it is the official ITU phonetic for P. Using &quot;Papa&quot; instead of names or places keeps things predictable for all operators worldwide. Memory Trick: Imagine &quot;Papa Quebec Romeo&quot; – P, Q, R in phonetics."
BankQuestionID,B-002-002-010
,
question,"In the International Telecommunication Union phonetic alphabet, what is the code word for the letter R?"
optionA,Romeo
optionB,Roger
optionC,Radio
optionD,Romania
correctOption,A
explanation,"Romeo is correct because it is the standard ITU phonetic word assigned to R. &quot;Roger&quot; is a procedural word meaning &quot;received&quot;, not the phonetic for R. Memory Trick: Think &quot;Romeo Sierra&quot; – R and S dancing together on sideband."
BankQuestionID,B-002-002-011
,
question,What is the correct way to call &quot;CQ&quot; when using voice?
optionA,"Say &quot;CQ&quot; at least ten times, followed by &quot;this is,&quot; followed by your call sign spoken once"
optionB,"Say &quot;CQ&quot; three times, followed by &quot;this is,&quot; followed by your call sign spoken three times"
optionC,"Say &quot;CQ&quot; once, followed by &quot;this is,&quot; followed by your call sign spoken three times"
optionD,"Say &quot;CQ&quot; at least five times, followed by &quot;this is,&quot; followed by your call sign spoken once"
correctOption,B
explanation,"Say &quot;CQ&quot; three times, then &quot;this is&quot;, then your call sign three times is the classic and clear pattern for a general call. It is long enough to be noticed but not overly repetitive. Memory Trick: 3–3 pattern: &quot;CQ&quot; 3 times, your call 3 times."
BankQuestionID,B-002-003-001
,
question,How should you answer a voice CQ call?
optionA,"Say the other station&apos;s call sign at least three times, followed by &quot;this is,&quot; and your call sign at least five times"
optionB,"Say your call sign twice, followed by &quot;calling,&quot; then the other station&apos;s call sign"
optionC,"Say the other station&apos;s call sign once, followed by &quot;this is,&quot; then your call sign"
optionD,"Say the other station&apos;s call sign at least five times, followed by &quot;this is,&quot; then your call sign twice"
correctOption,C
explanation,"You answer by saying the calling station&apos;s call sign once, then &quot;this is&quot;, then your call sign. That immediately tells them the call is for them and who is answering. Memory Trick: &quot;You then me&quot; – their call, then yours."
BankQuestionID,B-002-003-002
,
question,What is simplex operation?
optionA,Transmitting and receiving over a wide area
optionB,Transmitting on one frequency and receiving on another
optionC,Transmitting one-way communications
optionD,Transmitting and receiving on the same frequency
correctOption,D
explanation,"Simplex operation means both stations transmit and receive on the same frequency, with no repeater involved. Duplex operation (like most repeater use) uses different input and output frequencies. Memory Trick: Simplex = &quot;simple, single frequency&quot; at both ends."
BankQuestionID,B-002-003-003
,
question,When should you consider using simplex operation instead of a repeater?
optionA,When signals are reliable between communicating parties without using a repeater
optionB,When the most reliable communications are needed
optionC,When an emergency telephone call is needed
optionD,When you are travelling and need some local information
correctOption,A
explanation,"If you can hear each other well directly, you should switch to simplex and free up the repeater for other users or emergencies. Memory Trick: &quot;If we hear each other fine, leave the machine behind.&quot;"
BankQuestionID,B-002-003-004
,
question,Why should local communications use VHF and UHF frequencies instead of HF frequencies?
optionA,Because signals are stronger on VHF and UHF frequencies
optionB,To minimize clutter on HF bands more appropriate for long-distance communication
optionC,Because greater output power is permitted on VHF and UHF
optionD,Because HF transmissions are not propagated locally
correctOption,B
explanation,"HF bands are especially valuable for long-distance (DX) and regional work. Using VHF/UHF for local chat keeps HF from being clogged with short-range contacts. Memory Trick: &quot;Local = VHF/UHF, DX = HF.&quot;"
BankQuestionID,B-002-003-005
,
question,Why should you be careful in choosing a simplex frequency when operating VHF or UHF?
optionA,Implanted medical devices share the same spectrum
optionB,Some frequencies are designated for narrow band FM and others for wideband FM
optionC,To avoid inadvertently choosing a frequency that is the input to a local repeater
optionD,Some frequencies cannot accommodate simplex operation
correctOption,C
explanation,Many repeater systems use specific input frequencies. Operating simplex on one of those can unintentionally key up or interfere with the repeater. Memory Trick: &quot;Check the chart before you chat&quot; – consult the band plan or local list.
BankQuestionID,B-002-003-006
,
question,"If you are talking to a station using a repeater, how would you find out if you could communicate using simplex instead?"
optionA,By asking a third station to confirm it receives you both
optionB,By checking if you can clearly receive a more distant repeater
optionC,By asking the other station to move 10 kHz away to test the path
optionD,By checking if you can clearly receive the station on the repeater&apos;s input frequency
correctOption,D
explanation,"If you can clearly hear the other station on the repeater&apos;s input frequency, that proves your direct path is good enough for simplex. Memory Trick: &quot;Hear them on input? Simplex will do it.&quot;"
BankQuestionID,B-002-003-007
,
question,"If you are operating simplex on a repeater frequency, why would it be good practice to change to another frequency?"
optionA,Because you may interfere with users of the repeater
optionB,Because the repeater&apos;s output power may overload your receiver
optionC,Because there are more repeater operators than simplex operators
optionD,"Because changing the repeater&apos;s frequency requires the authorization of Innovation, Science and Economic Development Canada"
correctOption,A
explanation,"Using a repeater output for simplex can block or confuse normal repeater use. Moving to a proper simplex channel avoids interfering with repeaters and their users. Memory Trick: &quot;Repeater channels are for repeaters, not for private chats.&quot;"
BankQuestionID,B-002-003-008
,
question,Which sideband is commonly used for 20-metre voice operation?
optionA,Double
optionB,Upper
optionC,Lower
optionD,Independent
correctOption,B
explanation,"On HF, amateur convention is USB (upper sideband) for 20&nbsp;metres and above, and LSB (lower sideband) on 40&nbsp;metres and below (with some exceptions). Memory Trick: &quot;Low bands = Lower, high bands = Upper.&quot;"
BankQuestionID,B-002-003-009
,
question,Which sideband is commonly used on 3755 kHz for voice operation?
optionA,Double
optionB,Upper
optionC,Lower
optionD,Independent
correctOption,C
explanation,"3755&nbsp;kHz is in the 80-metre band, where the usual sideband for amateur SSB voice is LSB (lower sideband). Memory Trick: &quot;Below 10&nbsp;MHz, think Lower sideband.&quot;"
BankQuestionID,B-002-003-010
,
question,"When calling a specific station on voice, what is the preferred format for your transmission?"
optionA,"CQ, CQ, CQ followed by the call sign of the desired station"
optionB,"Your call sign, followed by &quot;calling&quot; and the call sign of the desired station"
optionC,"Your call sign repeated twice, the word &quot;for&quot; and the call sign of the desired station"
optionD,"The call sign of the desired station, followed by &quot;this is&quot; and your call sign"
correctOption,D
explanation,"Standard practice is &quot;VA3XYZ, this is VE3ABC&quot; – called station first, then your ID. That makes it immediately clear whom you want to contact and who you are. Memory Trick: &quot;You then me&quot; format again."
BankQuestionID,B-002-003-011
,
question,What should you do before you transmit on any frequency?
optionA,Listen to make sure others are not using the frequency
optionB,Check your antenna for resonance at the selected frequency
optionC,Make sure the SWR on your transmission line is high enough
optionD,Increase power to ensure someone will hear you
correctOption,A
explanation,"The first step before transmitting is always to listen and confirm the frequency is clear, to avoid interfering with ongoing communications. Memory Trick: &quot;LBT&quot; – Listen Before Transmit."
BankQuestionID,B-002-004-001
,
question,"If you contact another station and your signal is extremely strong and perfectly readable, what adjustment should you make to your transmitter?"
optionA,"None, continue with your contact"
optionB,Turn down your power output to the minimum necessary
optionC,Turn on your speech processor
optionD,Bypass your antenna tuner
correctOption,B
explanation,"Amateur practice and regulations say you should use the minimum power necessary to maintain good communication. If you are &quot;20 over S9&quot;, you can usually reduce power and still be fully readable. Memory Trick: &quot;If you&apos;re booming in, back the power down.&quot;"
BankQuestionID,B-002-004-002
,
question,You need to transmit to adjust your antenna tuner prior to joining an HF single-sideband net that is in progress. On what frequency should you make the adjustment?
optionA,On the net frequency
optionB,On the band&apos;s centre frequency
optionC,3 kHz to 5 kHz away from the net frequency
optionD,1 kHz away from the net frequency
correctOption,C
explanation,"Tuning 3–5&nbsp;kHz away keeps your tuning bursts from disturbing the ongoing net, while still being close enough for your tuner settings to be correct when you move onto the net frequency. Memory Trick: &quot;Tune nearby, not right on top.&quot;"
BankQuestionID,B-002-004-003
,
question,How can on-the-air interference be minimized during lengthy transmitter testing?
optionA,Choose an unoccupied frequency
optionB,Use a non-resonant antenna
optionC,Use a resonant antenna
optionD,Use a dummy load
correctOption,D
explanation,"A dummy load lets you transmit at full power without radiating a signal, so you can test, tune, or troubleshoot without bothering anyone on the air. Memory Trick: &quot;If you&apos;re just testing, talk to the dummy (load), not the world.&quot;"
BankQuestionID,B-002-004-004
,
question,Why would you use a dummy load?
optionA,To test or adjust your transceiver without causing interference
optionB,To give comparative signal reports
optionC,It is faster to tune
optionD,To reduce output power
correctOption,A
explanation,"To test or adjust your transceiver without causing interference is correct because a dummy load lets your transmitter work at full power while almost no RF is radiated, so nobody hears your testing on the air. The other options misunderstand its purpose: it is not for reports, speed, or power reduction. Memory Trick: Think &quot;If I am only testing, talk to the dummy (load), not the world.&quot;"
BankQuestionID,B-002-004-005
,
question,"If you are the net control station of a daily HF net, what should you do if the frequency on which you normally meet is in use just before the net begins?"
optionA,Cancel the net for that day
optionB,"Ask occupants if they would change frequency, otherwise move to a clear frequency"
optionC,Reduce your output power and start the net as usual
optionD,Increase your power output so that net participants will be able to hear you over the existing activity
correctOption,B
explanation,"Ask occupants if they would change frequency, otherwise move to a clear frequency is correct because no one owns a frequency; you must share politely and avoid causing interference. Turning power up or down does not solve the basic problem of two groups on the same channel, and cancelling the net is unnecessary if a clear frequency can be found. Memory Trick: Net control rule: &quot;Ask or move, never shove.&quot;"
BankQuestionID,B-002-004-006
,
question,"If a net is about to begin on a frequency that you and another station are using, what should you do?"
optionA,Transmit as long as possible on the frequency so that no other stations may use it
optionB,Turn off your radio
optionC,"As a courtesy, move to a different frequency"
optionD,Increase your power output to ensure that all net participants can hear you
correctOption,C
explanation,"As a courtesy, move to a different frequency is correct because good operating practice avoids unnecessary conflict and leaves scheduled nets room to function. Power wars or deliberately holding the frequency are poor etiquette, and you do not have to shut down completely, just move. Memory Trick: &quot;When the net comes near, clear the gear.&quot;"
BankQuestionID,B-002-004-007
,
question,"If propagation changes during your contact and you notice increasing interference from other stations on the same frequency, what should you do?"
optionA,"Tell the interfering stations to change frequency, since you were there first"
optionB,Report the interference to your Section Manager at Radio Amateurs of Canada (RAC)
optionC,Increase your output power
optionD,Move to another frequency
correctOption,D
explanation,"Move to another frequency is correct because conditions can make distant QSOs suddenly overlap; the simplest cure is to QSY and avoid mutual interference. Being &quot;there first&quot; does not give you ownership, and complaining or raising power just adds to the mess. Memory Trick: Interference rule: &quot;If it gets crowded, slide away, not shout louder.&quot;"
BankQuestionID,B-002-004-008
,
question,"When selecting a single-sideband voice transmitting frequency, what minimum frequency separation from a contact in progress should you allow to minimize interference?"
optionA,Approximately 3 kHz
optionB,150 Hz to 500 Hz
optionC,Approximately 6 kHz
optionD,Approximately 10 kHz
correctOption,A
explanation,"Approximately 3 kHz is correct because an SSB signal typically occupies about 2.4–3 kHz of bandwidth, so being at least 3 kHz away keeps your audio from spilling into the other QSO. A 150–500 Hz separation is far too close, while 6–10 kHz is more than needed. Memory Trick: &quot;For SSB, think 3 kHz free.&quot;"
BankQuestionID,B-002-004-009
,
question,What is a band plan?
optionA,A schedule of additional band allocations for recommendation to the International Telecommunication Union
optionB,A voluntary division of an amateur radio band to avoid interference between incompatible modes
optionC,"A schedule of operating restrictions within a band prescribed by Innovation, Science and Economic Development Canada"
optionD,A plan devised by a club for the effective use of a frequency band during a contest
correctOption,B
explanation,"A voluntary division of an amateur radio band to avoid interference between incompatible modes is correct because band plans are agreed guidelines by amateurs (not laws) that group voice, CW, digital, repeaters, etc., into different segments. They are not official regulations or contest-only plans. Memory Trick: Band plan = &quot;gentlemen&apos;s agreement map&quot; of the band."
BankQuestionID,B-002-004-010
,
question,"Before transmitting, the first thing you should do is:"
optionA,make an announcement on the frequency indicating that you intend to make a call
optionB,decrease your receiver&apos;s volume
optionC,listen carefully so as not to interrupt communications already in progress
optionD,ask if the frequency is occupied
correctOption,C
explanation,Listen carefully so as not to interrupt communications already in progress is correct because &quot;listen before transmitting&quot; is the most basic on-air courtesy and helps you avoid doubling over someone. Asking if the frequency is in use comes after you have listened for a while. Memory Trick: LBT = &quot;Listen Before Transmit.&quot;
BankQuestionID,B-002-004-011
,
question,What is the correct way to call &quot;CQ&quot; when using Morse code?
optionA,"Send the letters &quot;CQ&quot; three times, followed by the word &quot;DE,&quot; followed by your call sign once"
optionB,"Send the letters &quot;CQ&quot; ten times, followed by the word &quot;DE,&quot; followed by your call sign once"
optionC,Send the letters &quot;CQ&quot; until someone answers
optionD,"Send the letters &quot;CQ&quot; three times, followed by the word &quot;DE,&quot; followed by your call sign three times"
correctOption,D
explanation,"Send the letters &quot;CQ&quot; three times, followed by &quot;DE&quot; and your call sign three times is correct because this standard pattern is easy to copy and clearly identifies who is calling. One call sign might be missed in QSB, and endlessly sending CQ wastes band space. Memory Trick: Same 3–3 pattern as voice: &quot;CQ CQ CQ DE VE3XXX VE3XXX VE3XXX.&quot;"
BankQuestionID,B-002-005-001
,
question,How should you answer a routine Morse code &quot;CQ&quot; call?
optionA,"Send the other station&apos;s call sign twice, followed by the word &quot;DE,&quot; followed by your call sign twice"
optionB,Send your call sign four times
optionC,"Send the other station&apos;s call sign once, followed by the word &quot;DE,&quot; followed by your call sign four times"
optionD,"Send your call sign followed by your name, station location and a signal report"
correctOption,A
explanation,"Send the other station&apos;s call sign twice, &quot;DE,&quot; then your call sign twice is correct because it immediately tells the CQ-ing station the call is for them and clearly identifies you. Just sending your call or a long introduction is less clear and less efficient. Memory Trick: &quot;You-you DE me-me&quot; on CW."
BankQuestionID,B-002-005-002
,
question,At what speed should a Morse code &quot;CQ&quot; call be transmitted?
optionA,At the highest speed at which you can control the keyer
optionB,At any speed which you can reliably receive
optionC,At the customary speed for the band
optionD,At the highest speed your keyer will operate
correctOption,B
explanation,"At any speed which you can reliably receive is correct because you must be able to copy replies to your own CQ. It does not matter what your keyer can send; if you cannot copy at that speed, the QSO will fail. Memory Trick: &quot;Send at the speed your ears, not your keyer, can handle.&quot;"
BankQuestionID,B-002-005-003
,
question,What is the meaning of &quot;CQ&quot;?
optionA,An antenna is being tested
optionB,The frequency is in use
optionC,Calling any station
optionD,Call on the quarter-hour
correctOption,C
explanation,Calling any station is correct because CQ is the general call inviting any operator listening to answer. It does not mean testing or frequency in use. Memory Trick: Think &quot;Seek you&quot; as a sound-alike for CQ = &quot;I seek any station.&quot;
BankQuestionID,B-002-005-004
,
question,What is the meaning of the word &quot;DE&quot; in Morse code?
optionA,Received all correctly
optionB,Calling any station
optionC,Directional Emissions
optionD,From
correctOption,D
explanation,"From is correct because &quot;DE&quot; is used to introduce the station sending, as in &quot;CQ CQ CQ DE VA3ABC&quot; meaning &quot;CQ ... from VA3ABC.&quot; It is not a Q-signal and does not mean &quot;all received.&quot; Memory Trick: Think of DE as the French &quot;de&quot; (&quot;from&quot;) – same idea."
BankQuestionID,B-002-005-005
,
question,What is the meaning of the Morse code signal &quot;K&quot;?
optionA,Any station please reply
optionB,End of message
optionC,Called station only reply
optionD,All received correctly
correctOption,A
explanation,"Any station please reply is correct because &quot;K&quot; invites a response from whoever is being called (or from any station, depending on context). &quot;AR&quot; means end of message, and &quot;R&quot; means received. Memory Trick: Hear &quot;K&quot; as &quot;OK, go ahead.&quot;"
BankQuestionID,B-002-005-006
,
question,What is meant by the term &quot;DX&quot;?
optionA,Best regards
optionB,Distant station
optionC,Calling any station
optionD,Go ahead
correctOption,B
explanation,"Distant station is correct because DX is ham shorthand for long-distance communication, typically outside your own country or region. It is not a procedure word like &quot;go ahead&quot; or a greeting. Memory Trick: DX = &quot;distance &times; extra&quot; – far away contacts."
BankQuestionID,B-002-005-007
,
question,What is the meaning of the term &quot;73&quot;?
optionA,Love and kisses
optionB,Go ahead
optionC,Best regards
optionD,Long distance
correctOption,C
